day_of_week,hour,task_duration,difficulty,previous_completion_rate,category,completed,productivity_score
Monday,8,60,2,80,Study,1,82
Monday,10,90,3,75,Coding,1,78
Monday,14,60,2,60,Study,0,55
Monday,18,120,3,85,Coding,1,91
Monday,20,60,1,90,Reading,1,88
Tuesday,8,90,3,70,Coding,1,76
Tuesday,10,60,2,80,Study,1,84
Tuesday,14,120,3,65,Coding,0,58
Tuesday,18,120,3,88,Study,1,92
Tuesday,20,60,1,85,Reading,1,86
Wednesday,8,60,2,75,Study,1,80
Wednesday,10,120,3,70,Coding,1,79
Wednesday,14,60,2,55,Study,0,52
Wednesday,18,90,3,90,Coding,1,94
Wednesday,20,60,1,88,Reading,1,89
Thursday,8,120,3,70,Coding,1,77
Thursday,10,60,2,80,Study,1,83
Thursday,14,90,3,60,Coding,0,56
Thursday,18,120,3,92,Study,1,95
Thursday,20,60,1,85,Reading,1,87
Friday,8,60,2,75,Study,1,81
Friday,10,90,3,72,Coding,1,80
Friday,14,120,3,58,Coding,0,54
Friday,18,90,3,90,Study,1,93
Friday,20,60,1,87,Reading,1,88
Saturday,9,120,3,82,Coding,1,86
Saturday,11,60,2,85,Study,1,89
Saturday,15,90,3,65,Coding,0,61
Saturday,18,120,3,94,Study,1,96
Saturday,20,60,1,90,Reading,1,91
Sunday,9,60,2,80,Study,1,85
Sunday,11,90,3,78,Coding,1,84
Sunday,15,120,3,60,Coding,0,57
Sunday,18,120,3,92,Study,1,94
Sunday,20,60,1,88,Reading,1,90
